,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,Procurement Tracking Number
264,Department of Labor,OASAM,DC,Financial Statement Preparation and Accounting Services,Financial Statement Preparation and Accounting Services,541611,10.1M to 20M,"Verdi Consulting, Inc.",None - No Set-Aside Used,,Pre-existing Contract Vehicle - Blanket Purchase Agreement-BPA - MAS (Schedule),29908
270,General Services Administration,CIO-Office of the Chief Information Officer,DC,Financial Management IT Tech Support,This task order relates to the development and technical support activities in support of applications maintained by the FM IT Services Branch in GSA-IT for the FMLoB environment.,541611,20.1M to 50M,,To Be Determined,,,32602
285,Department of the Interior,Bureau of Safety and Environmental Enforcement,VA,Artificial Intelligence Advancement/Data Science Proof of Concept (PoC),Develop the AI concepts created by the NASA Advanced Supercomputer Division IAA into full-scale projects. The aim is to demonstrate further the effectiveness of machine learning techniques against BSEEs structured and unstructured data sets to assist in risk analyses or risk-informed decision-making processes.,541511,2.1M to 5M,,None - No Set-Aside Used,,To Be Determined,29177
801,General Services Administration,"FAS-Office of Travel, Transportation, and Logistics Categories (TTL)",DC,Transportation Audits Management System Support Services,Process and Performance Improvement for Transportation Audits Management System,541611,251K to 500K,Novaces,Small Business,2021-09-15,Pre-existing Contract Vehicle - Order-MAS Schedule,31642
861,General Services Administration,CIO-Office of the Chief Information Officer,DC,PBS Data Integration and Repository Management (PDIRM),O&M Support,541511,501K to 1M,,To Be Determined,,,31518
1003,General Services Administration,CFO-Chief Financial Officer,DC,Gartner membership for Finance Leadership Council,The purpose is for 1 seat membership,541611,Below 150K,"Gartner, Inc",None - No Set-Aside Used,2021-10-22,,31305
1122,Department of Labor,EBSA,DC,Cerulli,Retirement and Investment Research and Data,541990,Below 150K,,None - No Set-Aside Used,,,31065
1294,Department of the Interior,U.S. Geological Survey,VA,Information Technology & Telecom Professional Services-Office of Science Quality and Inegrity,IPDS The Information Products Data System (IPDS)-  document compliance bureau-wide and  maintain the existing functionality of IPDS and will allow for upgrades and enhancements to be made to the system.,541990,501K to 1M,To Be Determined,To Be Determined,,To Be Determined,30681
1304,Department of the Interior,U.S. Geological Survey,VA,Information Technology & Telecom Professional Services-Federal Geographic Data Committee,"Geospatial Platform Technical Support, Portfolio Management & Geospatial Cloud Service & System Security",541990,501K to 1M,To Be Determined,To Be Determined,,To Be Determined,30702
1385,Department of the Interior,U.S. Geological Survey,VA,Professional Services-Office of Assoc Director for Water,"NCAR Administrative Task Order - contract oversight,  position description development, project management, budget development",541611,251K to 500K,To Be Determined,To Be Determined,,To Be Determined,30627
1386,Department of the Interior,U.S. Geological Survey,VA,Professional Services-Office of Assoc Director for Water,"NCAR Administrative Task Order - contract oversight,  position description development, project management, budget development",541611,251K to 500K,To Be Determined,To Be Determined,,To Be Determined,30629
1681,General Services Administration,FAS-Office of Systems Management,DC,A-123 Internal Controls,"Task order to document, test, access and report on Ginnie Mae’s internal controls over financial reporting and financial management systems",541211,5.1M to 10M,,None - No Set-Aside Used,2021-09-17,,29959
2530,Department of the Interior,National Park Service,VA,IRAD - Enterprise GIS Systems Administration,010-000000507 --- ?Baseline technical support professional services contract to keep the Enterprise GIS system operating. The system runs in the Denver and Reston datacenters.,541990,1.1M to 2M,NEXGEN TECHNOLOGIES,Small Business,,,28198
2551,Department of the Interior,National Park Service,VA,IRAD - Dell Hardware Maintenance Renewal  (FY21 AQD Processed),010-000002506 ---- Large Dell hardware maintenance renewal for hardware in Reston/Denver data centers and Hyper-V Park servers (72),541990,501K to 1M,,Small Business,,,28235
2553,Department of the Interior,National Park Service,VA,IRAD - Data Center Equipment Replacement (FY21 AQD Processed),010-000002506 --- Replacement of EOL Hardware in the data center,541990,501K to 1M,,None - No Set-Aside Used,,,28237
2554,Department of the Interior,National Park Service,VA,IRAD - Load Balancers Hardware and Software maintenance and support (FY21 AQD Processed),010-000002506 --- To assist with Consolidating the Data Centers the Load Balancer utilities are needed to help ensure optimal computing utilization per server,541990,Below 150K,,Small Business,,,28238
2629,Department of the Interior,National Park Service,DC,Scanning grant and other files at WNRC-NARA,Scanning grant files at WNRC-NARA,541611,150K to 250K,,To Be Determined,,,28041
