,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,SetAside
1,USAID,Bureau for Asia (ASIA),Washington,Asia-Afghanistan Support Services Contract,"The contractor shall provide support services staff, for the Bureau for Asia; as well as the Afghanistan Mission of the United States Agency for International Development (USAID).  Support staff will include administrative, programmatic, and technical personnel.  The place of performance will be within the Continental United States and designated overseas geographical locations assigned to the Bureau for Asia.  Work may occur at government sites, contractor sites, remotely, or a mix of all three.  There will be TDYs, but no overseas assignments under this contract.",541611.0,$50M - $99.99M,Dexis Consulting,Total set-aside,3/18/2022,OASIS,SB
2,USAID,Bureau for Conflict Prevention and Stabilization (CPS),Washington,Center for Conflict and Violence Prevention Analytics Mechanism,This award will provide analytical services for the Center for Conflict and Violence Prevention.,,$4M - $9.99M,,TBD,4/01/2022,TBD,TBD
3,USAID,Bureau for Conflict Prevention and Stabilization (CPS),Washington,New Partnership Initiative/Conflict Prevention and Recovery Program Annual Program Statement,"The NPI/CPRP APS seeks to engage new and underutilized partners to expand and amplify the Agency’s work, particularly in contexts at the risk of, or recovering from, conflict or violence.",,$25M - $49.99M,,,4/15/2022,,TBD
4,USAID,Bureau for Conflict Prevention and Stabilization (CPS),Washington,Peacebuilders for Hire,This award will provide surge support to the field.,,$10M - $24.99M,,TBD,4/01/2022,TBD,TBD
5,USAID,"Bureau for Democracy, Development, and Innovation",Washington,"Justice, Rights and Security (JRS) Rapid Response ","Through this cooperative agreement, USAID will support rapid response activities that respond to time-bound, urgent or unforeseen needs or opportunities relating to justice, human rights, and security worldwide, including in USAID presence as well as non-presence countries.",,$10M - $24.99M,,,2/28/2022,,TBD
6,USAID,"Bureau for Democracy, Development, and Innovation",Washington,Technical Assistance Project for Economic Growth (TAP EG),"TAP EG will support inclusive, sustained and resilient private-sector led economic growth by increasing the effectiveness of USAID programs through rigorous and independent technical analysis, design, implementation, monitoring, evaluation, knowledge management, and capacity development support across USAID sectors and geographies.   ",,$50M - $99.99M,,Total set-aside,3/07/2022,GSA OASIS SB POOL 1,TBD
7,USAID,Bureau for Europe and Eurasia (E&E),Washington,Central and Eastern Europe DG Program (likely multiple awards),Central and Eastern Europe DG Program (likely multiple awards),,$25M - $49.99M,,,2/18/2022,1,United States
8,USAID,Bureau for Europe and Eurasia (E&E),Washington,Investment in Developing Energy Assets (IDEA),"The purpose of this activity is to develop investment opportunities in energy sector infrastructure projects requiring substantial and also smaller capital investments utilizing appropriate financing schemes, including private or public investments, PPP or other financing/ownership schemes. Activities will include performance of projects scoping, pre-feasibility and feasibility studies, development of bankable project documents, outreach to potential investors and potentially transactional assistance. ",,$10M - $24.99M,,,5/31/2022,,
9,USAID,Bureau for Europe and Eurasia (E&E),Washington,"Strengthening Transparency and Accountability 
through Investigative Reporting (STAIR) Activity
","The goal of the activity is to improve the sustainability of investigative journalism and support its role in promoting greater government accountability and transparency, including building resilience against malign influence. The activity will focus on: supporting collaborative investigative journalism networks; fostering investigative outlets’ organizational and financial viability; and strengthening safety and security resources.",,$10M - $24.99M,Follow-on award,,6/03/2022,,
10,USAID,Bureau for Europe and Eurasia (E&E),Washington,USPSC Regional Health Advisor ,USPSC E+E Regional Health Advisor ,,"$500,000 - $999,999",,,10/31/2021,,
11,USAID,Bureau for Humanitarian Assistance (BHA),Washington,BHA Guidelines support ,"Facilitation, translation, and printing services",,"$0 - $149,999",,TBD,3/01/2022,To be determined,0
12,USAID,Bureau for Humanitarian Assistance (BHA),Washington,FEWS NET Pillar 3 Livelihood,The work to be performed under this Task Order will complement pillar 1 and pillar 4.,,$25M - $49.99M,,,5/16/2022,IDIQ ,TBD
13,USAID,Bureau for Humanitarian Assistance (BHA),Washington,Humanitarian Assistance Support Contract,"Humanitarian Assistance Support Contract to provide administrative, operational, and technical support contract.",,$1B - $1.49B,Macfadden/PAE,,6/15/2022,OASIS,TBD
14,USAID,Bureau for Humanitarian Assistance (BHA),Washington,Pillar 3 - SPADe,"Market Analysis, studies, and reviews to strengthen emergency response planning and design emergency/non-emergency solicitations required by BHA.",,$25M - $49.99M,,,5/16/2022,USAID IDIQ ,TBD
